epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,135.701,0.93171,0.91309,1.82016,0.00664,1.51788,0.79311,0.79537,0.84622,0.60323,0.79311,0.79537,0.8481,0.6161,0.91972,0.74309,1.0554,0.01447,0,0.000665874,0.000665874,0.000665874
2,267.957,1.16816,0.94706,0.96252,0.00896,0.98073,0.76099,0.69806,0.76812,0.55118,0.7619,0.69765,0.76736,0.56861,0.96869,1.98968,1.12479,0.01441,0,0.00131935,0.00131935,0.00131935
3,399.221,1.19771,0.97678,0.976,0.00927,0.9547,0.83022,0.83385,0.87372,0.63017,0.82494,0.82948,0.8684,0.68667,0.88097,0.74308,0.74618,0.01267,0,0.00195962,0.00195962,0.00195962
4,530.239,1.15309,0.88591,0.94459,0.00874,0.84627,0.76761,0.78441,0.83332,0.6203,0.77508,0.7849,0.83931,0.65025,0.81118,0.73955,1.07059,0.01095,0,0.0019406,0.0019406,0.0019406
5,661.214,1.04838,0.82814,0.86291,0.00772,0.85822,0.84108,0.80633,0.87369,0.66759,0.8441,0.80457,0.8766,0.68403,0.76901,0.69064,0.94363,0.01039,0,0.0019208,0.0019208,0.0019208
6,792.379,1.01021,0.82703,0.82138,0.00739,0.80959,0.85624,0.79802,0.88407,0.68261,0.85885,0.80045,0.88054,0.68995,0.76633,0.70513,0.9333,0.01093,0,0.001901,0.001901,0.001901
7,923.501,0.94721,0.78697,0.75669,0.0069,0.70915,0.84716,0.82826,0.90246,0.7224,0.84591,0.82704,0.89641,0.72206,0.66451,0.6202,0.56255,0.00873,0,0.0018812,0.0018812,0.0018812
8,1054.55,0.93642,0.77483,0.7569,0.00667,0.71851,0.85793,0.81121,0.88855,0.72151,0.85664,0.80999,0.88806,0.72271,0.66073,0.65694,0.66444,0.00898,0,0.0018614,0.0018614,0.0018614
9,1185.56,0.884,0.73057,0.70412,0.00626,0.65698,0.87927,0.838,0.90411,0.73324,0.88483,0.83557,0.90185,0.72894,0.66691,0.6237,0.63638,0.00903,0,0.0018416,0.0018416,0.0018416
10,1316.5,0.87386,0.71531,0.69639,0.00606,0.62911,0.82037,0.83557,0.89938,0.72912,0.82276,0.838,0.89804,0.76376,0.63928,0.58211,0.73988,0.00805,0,0.0018218,0.0018218,0.0018218
11,1447.35,0.86187,0.70329,0.66679,0.00591,0.61833,0.86151,0.78042,0.88073,0.72309,0.86151,0.78042,0.88032,0.70012,0.62571,0.60027,0.72209,0.00823,0,0.001802,0.001802,0.001802
12,1578.2,0.83332,0.68823,0.67358,0.00579,0.62977,0.8679,0.81851,0.90581,0.75798,0.87909,0.81473,0.90669,0.74805,0.56863,0.53204,0.67046,0.00733,0,0.0017822,0.0017822,0.0017822
13,1709.15,0.79819,0.66222,0.61632,0.00563,0.57944,0.8662,0.85018,0.91331,0.7617,0.86706,0.85262,0.91532,0.74521,0.56665,0.54553,0.597,0.00713,0,0.0017624,0.0017624,0.0017624
14,1840.11,0.77972,0.64597,0.60749,0.00529,0.5571,0.88725,0.84343,0.91495,0.77882,0.88981,0.84587,0.91435,0.76322,0.53774,0.53578,0.5896,0.00699,0,0.0017426,0.0017426,0.0017426
15,1970.93,0.76405,0.63989,0.59385,0.00523,0.53223,0.87408,0.87454,0.93252,0.7972,0.8753,0.87576,0.93273,0.7842,0.52818,0.51629,0.45134,0.00687,0,0.0017228,0.0017228,0.0017228
16,2101.84,0.75814,0.6498,0.57844,0.0051,0.51805,0.86526,0.87604,0.9379,0.80251,0.86526,0.87604,0.93718,0.78566,0.50616,0.5204,0.49804,0.00622,0,0.001703,0.001703,0.001703
17,2232.66,0.74246,0.63316,0.58522,0.00488,0.52548,0.87492,0.8435,0.91905,0.78494,0.87711,0.84287,0.92003,0.77663,0.55397,0.52278,0.60836,0.00784,0,0.0016832,0.0016832,0.0016832
18,2363.48,0.73889,0.61324,0.56515,0.00491,0.53494,0.89673,0.838,0.92308,0.79551,0.87715,0.85228,0.92161,0.77443,0.5086,0.50135,0.57171,0.00666,0,0.0016634,0.0016634,0.0016634
19,2494.22,0.72241,0.60361,0.56357,0.00484,0.52374,0.9026,0.8514,0.93082,0.81699,0.91084,0.84614,0.93135,0.80092,0.4737,0.46444,0.51627,0.0058,0,0.0016436,0.0016436,0.0016436
20,2625.15,0.70649,0.5962,0.54573,0.00465,0.47081,0.88021,0.85627,0.9373,0.81987,0.87896,0.85505,0.93589,0.78637,0.46745,0.50529,0.59416,0.00586,0,0.0016238,0.0016238,0.0016238
21,2755.96,0.69922,0.6061,0.54651,0.00464,0.50939,0.87016,0.88672,0.93128,0.82406,0.87414,0.89038,0.93179,0.79555,0.47785,0.50534,0.4309,0.00636,0,0.001604,0.001604,0.001604
