epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,80.2645,2.13488,3.16532,1.72465,0.00443,1.48786,0.51893,0.58624,0.50966,0.29456,0.37405,0.41043,0.26611,0.08547,1.65996,2.4192,3.66461,0.00543,0,0.000554347,0.000554347,0.000554347
2,155.469,2.06718,2.90715,1.30132,0.00431,1.15339,0.61436,0.58063,0.58043,0.34138,0.4892,0.40811,0.34897,0.11185,1.63569,2.35462,3.4503,0.00567,0,0.00109902,0.00109902,0.00109902
3,230.844,2.06077,2.85598,1.23634,0.00428,1.07808,0.61441,0.60375,0.60909,0.38322,0.45263,0.43455,0.33249,0.11157,1.56639,2.24407,3.94656,0.00525,0,0.0016327,0.0016327,0.0016327
4,305.662,2.00118,2.76981,1.23848,0.00422,1.08075,0.59879,0.64974,0.63264,0.39633,0.47026,0.48643,0.40868,0.14168,1.61239,2.29899,3.11562,0.00533,0,0.00161749,0.00161749,0.00161749
5,380.698,1.97267,2.74361,1.17641,0.00406,0.97737,0.68404,0.66039,0.68357,0.45458,0.55394,0.50893,0.4572,0.15759,1.49016,2.19724,1.65619,0.00475,0,0.00160099,0.00160099,0.00160099
6,455.3,1.93653,2.68537,1.15118,0.00393,0.93211,0.66756,0.62832,0.6526,0.41539,0.49774,0.45709,0.38005,0.12264,1.55191,2.21679,2.64009,0.00507,0,0.00158448,0.00158448,0.00158448
7,530.097,1.94228,2.67295,1.13797,0.00386,0.95352,0.6743,0.64909,0.6799,0.45615,0.57511,0.50699,0.49603,0.18369,1.51622,2.13854,1.16253,0.00493,0,0.00156798,0.00156798,0.00156798
8,605.512,1.89675,2.61345,1.11823,0.00381,0.90163,0.69467,0.64994,0.68501,0.46241,0.54387,0.48783,0.43646,0.1501,1.46173,2.10729,1.69941,0.00467,0,0.00155148,0.00155148,0.00155148
9,679.986,1.8965,2.62818,1.10874,0.00368,0.88846,0.73321,0.65839,0.70379,0.49693,0.62241,0.5428,0.53571,0.21474,1.44685,2.0751,1.12104,0.00449,0,0.00153497,0.00153497,0.00153497
10,754.456,1.84374,2.56529,1.07787,0.00363,0.85629,0.71212,0.62692,0.67023,0.45241,0.62135,0.49029,0.48417,0.1762,1.46179,2.11448,4.34944,0.00478,0,0.00151847,0.00151847,0.00151847
11,828.546,1.86544,2.55752,1.08711,0.00363,0.86648,0.70724,0.66193,0.69502,0.47754,0.59773,0.54701,0.52354,0.19749,1.49258,2.04171,1.60033,0.00473,0,0.00150197,0.00150197,0.00150197
12,902.781,1.85509,2.57065,1.05625,0.00354,0.81156,0.713,0.68893,0.71751,0.5031,0.60161,0.56943,0.54355,0.2225,1.42822,2.08975,1.33214,0.00437,0,0.00148546,0.00148546,0.00148546
13,976.806,1.83044,2.51907,1.05844,0.00349,0.79287,0.73429,0.66514,0.71553,0.5117,0.588,0.52399,0.48995,0.18581,1.42897,2.12473,2.04113,0.00436,0,0.00146896,0.00146896,0.00146896
14,1051.11,1.81216,2.49844,1.0309,0.00342,0.80299,0.70043,0.69366,0.7233,0.52568,0.59001,0.56763,0.53558,0.21477,1.37458,2.05135,1.6569,0.00409,0,0.00145246,0.00145246,0.00145246
15,1125.25,1.81568,2.52228,1.04218,0.00343,0.81424,0.73733,0.69858,0.73266,0.52199,0.6143,0.54867,0.51742,0.18168,1.39863,2.05002,1.85472,0.00428,0,0.00143595,0.00143595,0.00143595
16,1199.18,1.82067,2.48522,1.03423,0.0034,0.80159,0.71815,0.69903,0.7278,0.52974,0.61947,0.5625,0.55203,0.22592,1.41628,2.11729,1.40742,0.00423,0,0.00141945,0.00141945,0.00141945
17,1273.41,1.79176,2.48062,1.02729,0.00336,0.77999,0.74174,0.68864,0.73028,0.53929,0.62542,0.56819,0.54788,0.20747,1.37349,2.00754,1.10184,0.00416,0,0.00140295,0.00140295,0.00140295
18,1347.78,1.79494,2.47084,1.00909,0.00331,0.79173,0.73063,0.69634,0.73372,0.52943,0.62266,0.55951,0.53107,0.20304,1.39538,1.97405,2.09058,0.00424,0,0.00138644,0.00138644,0.00138644
19,1421.83,1.77418,2.43532,1.00947,0.00336,0.75809,0.74089,0.71016,0.74449,0.548,0.63894,0.57133,0.56179,0.23112,1.38034,2.0678,1.60482,0.00413,0,0.00136994,0.00136994,0.00136994
20,1496.05,1.78252,2.44752,1.00357,0.00327,0.74194,0.72333,0.71479,0.73544,0.5294,0.61185,0.56406,0.51999,0.20187,1.38558,2.03963,1.41874,0.00408,0,0.00135344,0.00135344,0.00135344
21,1570.18,1.75321,2.43552,0.99473,0.00325,0.73004,0.75407,0.71362,0.75468,0.56185,0.63601,0.58734,0.56956,0.22915,1.34443,1.97849,0.96913,0.0039,0,0.00133693,0.00133693,0.00133693
22,1644.47,1.75011,2.40133,0.97804,0.00324,0.72335,0.72517,0.7036,0.7477,0.55338,0.63188,0.57606,0.56444,0.22876,1.35683,2.05917,1.65156,0.00392,0,0.00132043,0.00132043,0.00132043
23,1718.69,1.75396,2.39449,0.9716,0.00321,0.715,0.73188,0.72461,0.75786,0.56559,0.6331,0.58854,0.58016,0.24088,1.32823,1.98431,1.13074,0.00377,0,0.00130393,0.00130393,0.00130393
24,1793.03,1.74544,2.39941,0.96865,0.00314,0.71241,0.74384,0.72117,0.75245,0.55422,0.63119,0.58401,0.54614,0.21881,1.34311,2.03575,1.34377,0.00385,0,0.00128742,0.00128742,0.00128742
25,1867.34,1.73085,2.37622,0.96984,0.00313,0.70399,0.72503,0.72289,0.7512,0.5507,0.59861,0.57925,0.54071,0.21499,1.34652,2.00225,1.2618,0.00397,0,0.00127092,0.00127092,0.00127092
26,1941.72,1.72681,2.37043,0.95855,0.00308,0.691,0.73779,0.72537,0.7644,0.57809,0.655,0.60993,0.60408,0.25171,1.31438,1.9325,1.18527,0.00371,0,0.00125442,0.00125442,0.00125442
27,2015.9,1.69896,2.33316,0.96161,0.00305,0.70907,0.75573,0.71622,0.7591,0.57683,0.64396,0.59202,0.57673,0.23749,1.28884,1.9241,1.04355,0.00359,0,0.00123791,0.00123791,0.00123791
28,2090.2,1.71269,2.34946,0.9508,0.00308,0.68304,0.7456,0.71905,0.7565,0.57196,0.64454,0.58731,0.57377,0.24169,1.3213,1.97668,1.4169,0.00369,0,0.00122141,0.00122141,0.00122141
29,2164.53,1.72271,2.35541,0.95293,0.00307,0.70848,0.7523,0.73327,0.76288,0.57371,0.65367,0.59565,0.58612,0.24739,1.31526,1.94774,1.01097,0.0037,0,0.00120491,0.00120491,0.00120491
30,2238.84,1.70652,2.33518,0.94554,0.00303,0.68165,0.73458,0.73359,0.76115,0.57486,0.63085,0.60274,0.58251,0.24538,1.33145,2.02864,1.17102,0.0037,0,0.0011884,0.0011884,0.0011884
31,2313.19,1.71894,2.34464,0.94083,0.003,0.69098,0.73275,0.73813,0.76499,0.57551,0.63452,0.5947,0.57149,0.23623,1.3426,2.06233,1.03219,0.00363,0,0.0011719,0.0011719,0.0011719
32,2387.71,1.70486,2.34117,0.93205,0.003,0.6732,0.75194,0.7422,0.77818,0.59255,0.65548,0.59772,0.57719,0.23847,1.26887,1.87791,1.00434,0.00351,0,0.0011554,0.0011554,0.0011554
33,2462.14,1.70277,2.32589,0.92831,0.00297,0.6633,0.76827,0.74048,0.78277,0.59699,0.65992,0.62494,0.60228,0.25245,1.26282,1.8305,0.91832,0.00356,0,0.00113889,0.00113889,0.00113889
34,2536.42,1.68438,2.31417,0.92565,0.00295,0.66522,0.73765,0.72677,0.76753,0.57748,0.63097,0.5854,0.56435,0.23972,1.31239,1.93515,1.10668,0.00366,0,0.00112239,0.00112239,0.00112239
35,2610.75,1.68592,2.30354,0.91737,0.00292,0.65196,0.75366,0.74088,0.77795,0.59999,0.64567,0.61749,0.5995,0.26069,1.25859,1.89253,1.0774,0.00344,0,0.00110589,0.00110589,0.00110589
36,2685.07,1.67026,2.28524,0.90833,0.00289,0.64535,0.72756,0.73165,0.76979,0.58848,0.66329,0.58392,0.59155,0.2544,1.29053,1.94632,1.26108,0.00356,0,0.00108938,0.00108938,0.00108938
37,2759.38,1.66805,2.28158,0.90662,0.00289,0.63905,0.7444,0.74937,0.77955,0.59432,0.64507,0.61232,0.59426,0.25814,1.28529,1.89163,1.03432,0.00358,0,0.00107288,0.00107288,0.00107288
38,2833.54,1.66415,2.25664,0.91022,0.00293,0.64127,0.76954,0.74363,0.78679,0.6051,0.68485,0.62769,0.61682,0.26507,1.24462,1.84545,0.90681,0.00345,0,0.00105638,0.00105638,0.00105638
39,2907.97,1.66237,2.26657,0.89992,0.00285,0.61644,0.7623,0.74257,0.78177,0.59928,0.66452,0.60793,0.59099,0.24926,1.25867,1.88581,0.86578,0.00341,0,0.00103987,0.00103987,0.00103987
40,2982.25,1.66063,2.26749,0.89615,0.00285,0.62679,0.76943,0.74711,0.7896,0.61295,0.6703,0.61755,0.61552,0.26883,1.24334,1.86502,0.9461,0.00335,0,0.00102337,0.00102337,0.00102337
41,3056.7,1.64555,2.24919,0.88378,0.00281,0.60655,0.75071,0.76361,0.78958,0.60665,0.64996,0.61927,0.60372,0.26813,1.23792,1.82016,0.82167,0.0034,0,0.00100687,0.00100687,0.00100687
42,3130.98,1.65566,2.26851,0.88865,0.00281,0.61531,0.7782,0.75098,0.79193,0.6135,0.66549,0.62428,0.61854,0.27199,1.22808,1.80725,0.86117,0.00339,0,0.000990365,0.000990365,0.000990365
43,3205.4,1.64034,2.24338,0.88195,0.00276,0.60615,0.75944,0.74128,0.78325,0.59858,0.65865,0.60719,0.5917,0.2527,1.2475,1.8586,1.1108,0.00341,0,0.000973861,0.000973861,0.000973861
44,3279.71,1.64726,2.24685,0.88215,0.00279,0.59377,0.77578,0.75785,0.79596,0.62088,0.66955,0.62822,0.61419,0.26979,1.22561,1.80158,0.88321,0.00334,0,0.000957358,0.000957358,0.000957358
