epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2804,0.86795,0.86512,1.64214,0.00588,1.24414,0.82115,0.79415,0.84882,0.61925,0.81659,0.79176,0.84407,0.68228,1.01083,1.01571,0.9411,0.0128,0,0.000665577,0.000665577,0.000665577
2,196.232,1.04214,0.89566,0.84283,0.00774,0.76012,0.83436,0.80989,0.86521,0.65255,0.83422,0.80906,0.8658,0.67555,0.96366,0.90267,0.7582,0.01233,0,0.00131905,0.00131905,0.00131905
3,292.726,1.04044,0.83408,0.7842,0.00773,0.67,0.72435,0.8039,0.82543,0.61589,0.72435,0.8039,0.82703,0.64049,0.96471,0.87562,0.7986,0.01223,0,0.00195933,0.00195933,0.00195933
4,388.959,0.99152,0.82565,0.74872,0.00707,0.63149,0.86229,0.8246,0.89248,0.70719,0.86611,0.82826,0.89558,0.72031,0.83932,0.7994,0.64392,0.01037,0,0.0019406,0.0019406,0.0019406
5,485.253,0.93943,0.76448,0.69248,0.00678,0.58633,0.86682,0.84035,0.90889,0.7359,0.857,0.83213,0.89592,0.73701,0.77749,0.78674,0.56615,0.00895,0,0.0019208,0.0019208,0.0019208
6,581.559,0.89243,0.74086,0.65748,0.00623,0.57051,0.85218,0.84531,0.90637,0.74183,0.85463,0.84775,0.90583,0.74353,0.74146,0.70945,0.62708,0.00858,0,0.001901,0.001901,0.001901
7,677.874,0.85636,0.70662,0.64823,0.00578,0.52247,0.86315,0.84896,0.90886,0.7658,0.87603,0.84531,0.90982,0.76603,0.67039,0.65308,0.54611,0.00796,0,0.0018812,0.0018812,0.0018812
8,774.383,0.82125,0.7017,0.62074,0.00559,0.53246,0.84489,0.86602,0.90763,0.75037,0.84815,0.864,0.90749,0.75474,0.73178,0.6942,0.62023,0.00871,0,0.0018614,0.0018614,0.0018614
9,870.908,0.79874,0.67435,0.59519,0.00531,0.48171,0.85025,0.82294,0.90138,0.73799,0.85025,0.82294,0.90426,0.74555,0.72408,0.71457,0.6227,0.00842,0,0.0018416,0.0018416,0.0018416
10,967.249,0.77337,0.64715,0.59073,0.00518,0.47999,0.85654,0.87267,0.91317,0.77199,0.85292,0.8688,0.90665,0.75371,0.65003,0.68791,0.58679,0.00716,0,0.0018218,0.0018218,0.0018218
11,1063.62,0.74936,0.63597,0.55533,0.00495,0.46237,0.84566,0.89038,0.92987,0.78993,0.85646,0.87209,0.92435,0.80839,0.63274,0.65778,0.48348,0.00707,0,0.001802,0.001802,0.001802
12,1160.12,0.7388,0.61151,0.54217,0.00472,0.40596,0.87091,0.90012,0.93272,0.81184,0.86855,0.89769,0.92838,0.79257,0.59287,0.60354,0.46771,0.00699,0,0.0017822,0.0017822,0.0017822
13,1256.62,0.70007,0.60892,0.53159,0.00472,0.4325,0.89887,0.88779,0.93611,0.80934,0.89518,0.88414,0.9344,0.79706,0.59478,0.57824,0.42111,0.00683,0,0.0017624,0.0017624,0.0017624
14,1353.03,0.70078,0.60162,0.51552,0.00449,0.40571,0.91192,0.87942,0.94045,0.82206,0.91372,0.87711,0.94266,0.80097,0.56953,0.60415,0.46694,0.00645,0,0.0017426,0.0017426,0.0017426
15,1449.33,0.68397,0.59366,0.51537,0.00454,0.42353,0.88974,0.86236,0.92149,0.79876,0.88472,0.85749,0.91494,0.7805,0.58281,0.61653,0.60179,0.00652,0,0.0017228,0.0017228,0.0017228
16,1545.65,0.68306,0.59595,0.50232,0.00452,0.39602,0.8949,0.88151,0.9421,0.83552,0.89242,0.87907,0.93716,0.79273,0.52177,0.65913,0.45635,0.0059,0,0.001703,0.001703,0.001703
17,1642.04,0.67669,0.58973,0.48411,0.00443,0.38238,0.91071,0.88206,0.95173,0.83578,0.90843,0.88212,0.94845,0.822,0.53373,0.54835,0.38282,0.00541,0,0.0016832,0.0016832,0.0016832
18,1738.38,0.65758,0.57091,0.48058,0.00417,0.38112,0.90423,0.897,0.94831,0.83445,0.90103,0.8916,0.94152,0.80777,0.53224,0.53864,0.42739,0.00592,0,0.0016634,0.0016634,0.0016634
19,1834.76,0.63357,0.57223,0.45841,0.00397,0.3517,0.9058,0.86724,0.94497,0.8378,0.9058,0.86724,0.94551,0.80659,0.52907,0.54521,0.44574,0.006,0,0.0016436,0.0016436,0.0016436
20,1931.11,0.6247,0.53617,0.45778,0.0039,0.35758,0.90262,0.88916,0.95386,0.84749,0.90138,0.88794,0.95133,0.82036,0.50093,0.52469,0.39114,0.00536,0,0.0016238,0.0016238,0.0016238
21,2027.5,0.62399,0.53714,0.43796,0.00396,0.36884,0.88466,0.9155,0.95413,0.84047,0.8823,0.91306,0.9482,0.82243,0.52018,0.59559,0.393,0.00573,0,0.001604,0.001604,0.001604
22,2123.82,0.62206,0.54863,0.46476,0.00378,0.37468,0.88232,0.91319,0.93761,0.82821,0.88114,0.91197,0.93356,0.79453,0.5143,0.57409,0.44572,0.00553,0,0.0015842,0.0015842,0.0015842
23,2220.15,0.60473,0.53495,0.4431,0.00382,0.36458,0.90411,0.89582,0.95745,0.86127,0.9015,0.89769,0.95233,0.82086,0.47024,0.54656,0.39507,0.00496,0,0.0015644,0.0015644,0.0015644
24,2316.49,0.60579,0.5329,0.41759,0.00393,0.32833,0.91464,0.90256,0.95945,0.86356,0.91464,0.90256,0.95848,0.83322,0.48822,0.52661,0.35421,0.00548,0,0.0015446,0.0015446,0.0015446
25,2412.83,0.5868,0.52179,0.41949,0.00366,0.319,0.91851,0.88672,0.95954,0.85781,0.91473,0.88307,0.95693,0.82746,0.48046,0.51198,0.36173,0.00524,0,0.0015248,0.0015248,0.0015248
26,2509.23,0.59496,0.52449,0.43096,0.00367,0.34374,0.90623,0.90621,0.95678,0.85847,0.90501,0.90499,0.95457,0.83378,0.47806,0.51803,0.3809,0.00518,0,0.001505,0.001505,0.001505
